Username,Order_ID,Date_,Subtotal,Tip,Time_
68164488,0,10/3/2022,12.5,4.64,22:31
99083877,1,10/3/2022,10,0.67,22:09
mewnnrbr6327@team9b.com,2,10/3/2022,12.5,1.98,18:25
44395718,3,10/3/2022,32.5,4.96,22:41
yvjrmvxh4164@youtube.com,4,10/3/2022,12.5,0.95,13:13
54315149,5,10/3/2022,25,4.04,19:36
leglzlao5328@mojang.com,6,10/3/2022,30,2.26,17:17
91143424,7,10/3/2022,37.5,0,17:05
12856702,8,10/3/2022,10,0.77,13:54
drlcxzwq8511@outlook.com,9,10/3/2022,55,0.23,13:10
89346805,10,10/3/2022,32.5,3.14,11:04
09166541,11,10/3/2022,60,0.73,15:49
eyewjyqo6396@team9b.com,12,10/3/2022,55,1.41,19:52
77235905,13,10/3/2022,55,0.99,17:48
77235905,14,10/3/2022,42.5,1.62,13:58
bqxcmhxj0406@yahoo.com,15,10/3/2022,10,4.94,20:23
gtkvyvui9206@tamu.com,16,10/3/2022,22.5,0.65,16:47
dxaenkpu3299@amazon.com,17,10/3/2022,35,0.06,16:34
53597775,18,10/3/2022,47.5,3.11,14:18
27368406,19,10/3/2022,50,3.09,12:51
45823849,20,10/3/2022,32.5,3.46,17:16
ksivzavk0512@outlook.com,21,10/3/2022,12.5,3.89,14:15
lulymimp4994@microsoft.com,22,10/3/2022,12.5,2.23,16:34
99083877,23,10/3/2022,60,0.54,13:22
88744860,24,10/3/2022,55,2.32,13:21
bzfegiox1878@microsoft.com,25,10/3/2022,35,4.12,18:50
99346498,26,10/3/2022,42.5,4.96,20:20
wscfsmmm9270@team9b.com,27,10/3/2022,35,4.47,21:03
70544231,28,10/3/2022,12.5,0.56,13:10
vdfmxaps8903@microsoft.com,29,10/3/2022,22.5,1.06,16:51
eouqsbuj0665@mojang.com,30,10/3/2022,45,3.4,20:49
97939309,31,10/3/2022,42.5,0.95,15:56
pjzswqpn6865@mojang.com,32,10/3/2022,35,0.48,16:25
86349856,33,10/3/2022,35,0.94,17:25
cbxdmrtx1642@gmail.com,34,10/3/2022,22.5,1.05,12:03
nddaftql1388@yahoo.com,35,10/3/2022,22.5,4.73,18:24
erannexm9730@hotmail.com,36,10/3/2022,12.5,3.66,16:44
evbcmjsk8537@amazon.com,37,10/3/2022,22.5,0.89,21:20
68164488,38,10/3/2022,35,0.44,14:39
27368406,39,10/3/2022,12.5,0.31,11:56
nmkidoym9408@gongcha.com,40,10/3/2022,30,1.55,20:11
gmlfplgb5415@amongus.com,41,10/3/2022,10,1.04,15:05
csgjhmmq6539@tamu.com,42,10/3/2022,32.5,3.06,16:30
28488312,43,10/3/2022,55,4.25,17:15
42076180,44,10/3/2022,37.5,3.97,14:00
bqxcmhxj0406@yahoo.com,45,10/3/2022,35,4.16,17:12
53597775,46,10/3/2022,10,1.68,21:08
qhxpyyhy3771@outlook.com,47,10/3/2022,55,2.41,17:53
fqngrbru7263@yahoo.com,48,10/3/2022,12.5,0.12,12:42
77235905,49,10/3/2022,55,3.56,20:10
29884709,50,10/3/2022,57.5,0.4,14:21
53597775,51,10/3/2022,10,2.05,20:34
91143424,52,10/3/2022,12.5,2.02,12:45
86349856,53,10/3/2022,10,3.54,15:29
55318110,54,10/3/2022,57.5,1.02,13:20
knrlplvg2781@yahoo.com,55,10/3/2022,10,2.69,17:33
uzgolapa6273@hotmail.com,56,10/3/2022,12.5,4.71,15:25
drlcxzwq8511@outlook.com,57,10/3/2022,25,0.71,19:56
blmqchbj1685@gmail.com,58,10/3/2022,32.5,3.6,12:44
gmlfplgb5415@amongus.com,59,10/3/2022,45,1.07,16:53
gtkvyvui9206@tamu.com,60,10/3/2022,37.5,4.21,15:38
44395718,61,10/3/2022,32.5,1.1,18:28
99083877,62,10/3/2022,12.5,1.04,11:43
leglzlao5328@mojang.com,63,10/3/2022,42.5,1.6,19:04
gvnebals4363@microsoft.com,64,10/3/2022,35,2.96,17:50
bzfegiox1878@microsoft.com,65,10/3/2022,25,1.83,17:40
