Username,Password_,Is_Manager
cbxdmrtx1642@gmail.com,8w!8i#,0
fqngrbru7263@yahoo.com,kdb8_r,0
lulymimp4994@microsoft.com,wdb$pd,0
nmkidoym9408@gongcha.com,6o4^x3,0
blmqchbj1685@gmail.com,pjhw&b,0
poeldyyi5038@yahoo.com,yfe1l&,0
hzzhsywz9701@tamu.com,$f9w7b,0
eyewjyqo6396@team9b.com,fwa_wx,0
drlcxzwq8511@outlook.com,9d*79m,0
gmlfplgb5415@amongus.com,5ikbqz,0
eouqsbuj0665@mojang.com,$5_ib&,0
leglzlao5328@mojang.com,lasjcp,0
wlmomoox5344@yahoo.com,4*vkd_,0
mewnnrbr6327@team9b.com,l-1hq3,0
nddaftql1388@yahoo.com,h0se9e,0
lwfpmjdl4255@outlook.com,7kzvu1,0
tnleamow3456@tamu.com,unm_!l,0
miqyozhi2562@gongcha.com,vct6-m,0
iuaaeaiu9436@yahoo.com,qu!s_q,0
nkhvynwi0877@gmail.com,4ggvc_,0
yvjrmvxh4164@youtube.com,6j_n$z,0
bvlhhapp2329@outlook.com,z8fs2a,0
dxaenkpu3299@amazon.com,glhmb-,0
mvwpqozi8212@amazon.com,%28s31,0
bqxcmhxj0406@yahoo.com,v^9$^u,0
hzeongix0241@mojang.com,kpg#-r,0
uequjkrd7690@hotmail.com,^r76c2,0
pjzswqpn6865@mojang.com,osnd$u,0
vdfmxaps8903@microsoft.com,pfarbh,0
rpuuikvb0197@youtube.com,j1p%ya,0
bzfegiox1878@microsoft.com,ftbr5e,0
ydylbckb5048@gongcha.com,016so7,0
zrzmjytq5017@team9b.com,di!zlc,0
knrlplvg2781@yahoo.com,s&!0g^,0
gtkvyvui9206@tamu.com,ehqice,0
tjarunxo4546@amazon.com,u2yv5u,0
sakwrvhs8207@tamu.com,amre!-,0
xhavrhlp6214@gmail.com,!1o&#2,0
uakripis6880@microsoft.com,bx6pvf,0
qhxpyyhy3771@outlook.com,&r^5kd,0
gvnebals4363@microsoft.com,4yzdhi,0
bqameafc6423@microsoft.com,j-4&v%,0
tzerdgmu7305@hotmail.com,l$f1sp,0
csgjhmmq6539@tamu.com,92%$!z,0
fnhqoyuj3254@team9b.com,lqvvu9,0
botlwdwc8212@gongcha.com,60ub#q,0
hnwdoktm2681@gmail.com,s2emt^,0
yzmbdcsd4318@outlook.com,o3406y,0
evbcmjsk8537@amazon.com,21fj31,0
xbkpyhhg8751@tamu.com,remxm!,0
ikpussac3587@gongcha.com,ezs-yl,0
bstibhih7500@microsoft.com,$w#gtn,0
acnwixtn4093@gmail.com,e9sne%,0
wscfsmmm9270@team9b.com,j^5!%p,0
qddpnwur1048@youtube.com,v9&61^,0
ksivzavk0512@outlook.com,e6-ay*,0
fqvfyfez3999@amongus.com,-a0kuf,0
mpepbmgq3917@tamu.com,9e$^hv,0
uzgolapa6273@hotmail.com,4-2^#t,0
erannexm9730@hotmail.com,-24^v0,0
91143424,hs_oer,0
57341554,emmhzn,0
36309511,u_zlwx,0
02212372,wc%9m5,0
65573512,jo40c!,0
26475312,izeoz0,0
88223286,aaudum,0
12856702,a5lnu8,0
54315149,#do-it,0
09166541,30sc&_,0
70544231,&tu5e9,0
34172948,sd3zmf,0
58680153,-okiyi,0
53597775,&rupm%,0
27368406,n7$o3&,0
53773347,bjbo^_,0
63252884,rx2w23,0
44395718,6&-!q_,0
68164488,6fb!a$,0
97465710,v-m&!s,0
17958049,1j#ttu,0
09404152,xv8nx-,0
45823849,cwj^&q,0
71854166,fmry!h,0
28488312,3fu6x2,0
55318110,5y7392,0
29884709,_&7$7b,0
97939309,o^ileq,0
86349856,bscf7y,0
77235905,jww66h,0
22079174,7#76&e,1
99083877,6j_nx^,1
42076180,b_!rns,1
07559614,0&zo7g,1
99346498,obk6gx,1
89346805,vpqxmg,1
68467298,6-rnhj,1
26260554,4!3n8e,1
15210904,x7gi26,1
88744860,l-a%c#,1
